"","Momentum","Quality","Value"
"1",0.422311642255182,0.241468395127933,0.336219962616884
"2",0.439676212049779,0.24640824755019,0.313915540400031
"3",0.433525624343731,0.266460182193291,0.300014193462978
"4",0.39150833974974,0.252563421983382,0.355928238266878
"5",0.374678088924561,0.270522912371597,0.354798998703842
"6",0.436473136523996,0.208514181984859,0.355012681491145
"7",0.420092511469211,0.252575446056635,0.327332042474154
"8",0.367265810631514,0.279732648773697,0.353001540594789
"9",0.38935735052482,0.249786990539822,0.360855658935358
"10",0.405314419111666,0.238758649891788,0.355926930996546
"11",0.384141550320954,0.275017478609762,0.340840971069284
"12",0.385424909105622,0.270510018214418,0.34406507267996
"13",0.380359635861087,0.252198781938835,0.367441582200079
"14",0.411575521951838,0.261625933680799,0.326798544367363
"15",0.432958223020999,0.272464985878508,0.294576791100494
"16",0.375445466357189,0.286871677151828,0.337682856490983
"17",0.439336159453406,0.226456756895683,0.334207083650911
"18",0.426301853197582,0.21083538849506,0.362862758307358
"19",0.379173777274821,0.272972529746356,0.347853692978823
"20",0.37435360561083,0.289107686681754,0.336538707707416
"21",0.444644651498651,0.213137948668226,0.342217399833123
"22",0.377651052806148,0.281204645391045,0.341144301802807
"23",0.409147751307788,0.233311545235475,0.357540703456738
"24",0.415218579034856,0.218480053192418,0.366301367772726
"25",0.384885601547664,0.254474864716837,0.360639533735499
"26",0.416445237280132,0.268954163822215,0.314600598897652
"27",0.439950720033873,0.250785060057877,0.30926421990825
"28",0.413722035855991,0.215957415455783,0.370320548688226
"29",0.37506467233668,0.276517067968007,0.348418259695312
"30",0.419840323917797,0.234042752423763,0.34611692365844
"31",0.406951174454045,0.266997647686844,0.32605117785911
"32",0.396070127159619,0.276606003143955,0.327323869696426
"33",0.373289719231122,0.260387590440696,0.366322690328183
"34",0.410457015930296,0.268067294511468,0.321475689558236
"35",0.413110784336169,0.226185736318998,0.360703479344834
"36",0.423573990269869,0.239856465516539,0.336569544213592
"37",0.422591436054956,0.241633960706783,0.33577460323826
